true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,correct,high_conf_wrong
0,0,0.993867,0.005695222,0.0004377949,True,False
0,0,0.9990689,0.0008332122,9.792247e-05,True,False
0,1,0.2982299,0.6961725,0.005597606,False,False
2,2,6.23625e-06,0.00095867447,0.9990351,True,False
1,1,0.078330964,0.9022866,0.019382458,True,False
1,1,0.004981087,0.91562545,0.07939348,True,False
0,1,0.39763737,0.5960426,0.006320094,False,False
2,2,0.011792831,0.19591881,0.7922884,True,False
0,0,0.9938623,0.0047735167,0.0013642304,True,False
0,0,0.9993579,0.00061341893,2.8698292e-05,True,False
0,1,0.20048913,0.78702873,0.012482095,False,False
1,1,0.0055996235,0.9878109,0.0065894322,True,False
1,1,0.4839173,0.51155025,0.004532464,True,False
2,2,4.8626473e-05,0.0030692108,0.9968822,True,False
0,1,0.28059268,0.7144511,0.0049562207,False,False
1,1,0.018116737,0.9497328,0.032150455,True,False
2,2,0.0059192427,0.014936468,0.9791443,True,False
1,1,0.0006254444,0.9886951,0.010679485,True,False
2,2,0.0044486555,0.40365374,0.5918976,True,False
2,2,0.0027937922,0.060801234,0.936405,True,False
0,0,0.9996302,0.00033990355,2.9851455e-05,True,False
0,0,0.97890604,0.02055614,0.0005378769,True,False
2,2,3.9277904e-05,0.0021239044,0.9978369,True,False
2,2,0.0071396725,0.020028608,0.97283167,True,False
1,0,0.7011582,0.29373637,0.0051054335,False,False
2,2,1.6095506e-05,0.07798175,0.92200214,True,False
0,0,0.9797515,0.018282913,0.001965598,True,False
0,0,0.9998344,0.00016003352,5.496363e-06,True,False
1,1,0.008408331,0.9713428,0.020248856,True,False
0,0,0.9927047,0.00670525,0.0005900668,True,False
2,2,6.5179847e-06,0.0009482853,0.9990452,True,False
0,0,0.9997793,0.00021042555,1.0257274e-05,True,False
1,2,0.0098697785,0.28905973,0.7010705,False,False
1,1,0.005378036,0.92135507,0.073266946,True,False
2,1,0.0018618599,0.56325597,0.43488213,False,False
1,1,0.0069770715,0.97973377,0.013289106,True,False
0,0,0.9898094,0.009405888,0.0007846927,True,False
0,0,0.9990958,0.00081407325,9.017559e-05,True,False
0,0,0.9989479,0.00095995836,9.2131006e-05,True,False
2,2,1.4015289e-07,0.000104810184,0.9998951,True,False
1,1,0.0011409944,0.9467186,0.052140467,True,False
0,0,0.89318067,0.10565164,0.0011676989,True,False
1,1,0.0041551087,0.97857946,0.017265419,True,False
1,1,0.016766809,0.9689247,0.014308489,True,False
1,1,0.20515151,0.7542576,0.040590875,True,False
1,1,0.008390198,0.98273164,0.008878189,True,False
0,0,0.8464845,0.14949533,0.004020233,True,False
0,0,0.99889827,0.0010044575,9.733663e-05,True,False
0,0,0.9486475,0.04897336,0.0023791825,True,False
0,0,0.9921332,0.007384089,0.00048283054,True,False
1,1,0.04923368,0.9083033,0.042463034,True,False
2,2,0.00073199364,0.005146036,0.99412197,True,False
1,1,0.0017733825,0.99418145,0.0040451693,True,False
0,0,0.9952917,0.00437113,0.00033717824,True,False
2,2,6.538745e-07,0.00021740828,0.999782,True,False
1,1,0.17162135,0.8027098,0.025668902,True,False
2,2,3.7215007e-06,0.0009778992,0.99901843,True,False
0,0,0.9711719,0.023633407,0.0051947623,True,False
2,2,0.00014255285,0.053559363,0.94629806,True,False
2,2,5.8478477e-06,0.0036005115,0.9963936,True,False
0,2,0.08297774,0.048841193,0.8681811,False,True
2,2,2.4983542e-08,9.301229e-06,0.9999907,True,False
0,0,0.9927562,0.006811098,0.00043267332,True,False
2,2,2.1301942e-06,0.011800856,0.988197,True,False
2,2,0.0008271064,0.18171641,0.8174564,True,False
1,1,0.00027966543,0.9034631,0.09625721,True,False
2,2,3.9066254e-06,0.0045677954,0.9954283,True,False
1,1,0.040428378,0.889071,0.070500605,True,False
0,0,0.99170786,0.0074117268,0.0008804027,True,False
2,2,0.0032889405,0.0153080635,0.981403,True,False
2,1,0.02150098,0.68537754,0.2931215,False,False
2,2,2.0912282e-06,0.019204162,0.9807937,True,False
1,1,0.007854409,0.8254568,0.16668878,True,False
0,0,0.99680233,0.0028890988,0.00030860785,True,False
1,1,0.15453435,0.797608,0.047857642,True,False
0,0,0.50991535,0.48416913,0.0059155393,True,False
0,0,0.9961863,0.0035816391,0.00023209387,True,False
2,2,0.008995413,0.024342248,0.96666235,True,False
0,0,0.9664818,0.03224107,0.0012770944,True,False
0,0,0.99019617,0.009190771,0.0006130699,True,False
2,2,5.129979e-06,0.00081518193,0.99917966,True,False
1,1,0.00047566128,0.98950773,0.010016654,True,False
2,2,3.5146313e-06,0.00946268,0.9905338,True,False
2,1,0.06251998,0.56532663,0.37215337,False,False
0,0,0.8943294,0.097632915,0.00803757,True,False
2,2,0.0008595257,0.062948085,0.93619233,True,False
1,1,0.008218117,0.8570808,0.13470107,True,False
0,1,0.38084686,0.5431704,0.075982794,False,False
2,1,0.04926332,0.4866801,0.4640566,False,False
0,0,0.96704674,0.030481102,0.0024721473,True,False
2,2,9.228374e-08,9.837613e-05,0.99990153,True,False
0,0,0.699147,0.28174788,0.019105144,True,False
1,1,0.005012093,0.98963773,0.005350173,True,False
1,1,0.045624346,0.95027244,0.0041032117,True,False
2,2,7.5744592e-06,0.0011875416,0.9988048,True,False
1,1,0.11043903,0.7747356,0.114825405,True,False
0,0,0.9989248,0.0010134733,6.163641e-05,True,False
2,2,1.4065486e-06,0.00019587604,0.99980277,True,False
1,1,0.23796725,0.75730675,0.0047260243,True,False
2,2,0.085142486,0.36544633,0.5494112,True,False
2,2,3.9459214e-06,0.0023241008,0.997672,True,False
2,2,0.0002558904,0.012016206,0.9877279,True,False
2,2,4.383905e-06,0.000939835,0.9990558,True,False
0,0,0.9258835,0.06860822,0.005508343,True,False
1,0,0.95250946,0.042298764,0.0051918007,False,True
2,2,6.8849577e-06,0.0015342198,0.99845886,True,False
1,1,0.0019358973,0.9307721,0.06729202,True,False
1,1,0.39298528,0.5290041,0.07801061,True,False
2,2,0.013113222,0.07861406,0.90827274,True,False
2,2,0.00018038791,0.019163812,0.9806558,True,False
1,1,0.013245547,0.9756674,0.011086992,True,False
2,2,8.623831e-05,0.039917875,0.95999587,True,False
1,1,0.003035331,0.99182147,0.0051431246,True,False
0,0,0.84851617,0.13909377,0.012390068,True,False
1,1,0.06674782,0.92417896,0.009073173,True,False
0,0,0.9994382,0.00052481605,3.692258e-05,True,False
0,0,0.7012685,0.29337958,0.00535192,True,False
2,2,3.038736e-06,0.000989885,0.99900705,True,False
1,1,0.05467956,0.9384442,0.0068763015,True,False
2,2,1.7077831e-05,0.008443842,0.9915392,True,False
